language,id,text,file,node,lineNumber,lock,comment
en,line:0b5da1f,Genny: Good evening Brette!,Assets/YarnFile/00_01.yarn,Start,4,695d7a9d,
en,line:07101b7,Genny: I'm about to ask if you are going to take a rest for today.,Assets/YarnFile/00_01.yarn,Start,5,f587495f,
en,line:011b79c,"Genny: By the way,",Assets/YarnFile/00_01.yarn,Start,6,a17ee31f,
en,line:0a4d2ed,Genny: How does the new Prosthetic Eye I gave you feel?,Assets/YarnFile/00_01.yarn,Start,7,cb2662c0,
en,line:0d88b6d,Genny: I tried some new Biomaterial with this one! I'm collecting data right now and I feel that my data will be the best in our lab…,Assets/YarnFile/00_01.yarn,Start,8,937fcf73,
en,line:06da0f1,Genny: Okay I will stop there,Assets/YarnFile/00_01.yarn,Start,9,965580b3,
en,line:0e525c6,Genny: I know you are not interested in these.,Assets/YarnFile/00_01.yarn,Start,10,60b467bc,
en,line:09e2c57,"Genny: B U T, Remember!",Assets/YarnFile/00_01.yarn,Start,11,83604422,
en,line:006a7b5,"Genny: If anything feels weird, let me know and I will adjust some details.",Assets/YarnFile/00_01.yarn,Start,12,19ed402e,
en,line:07c709c,"Genny: Don't try to fix it yourself, okay?",Assets/YarnFile/00_01.yarn,Start,13,50408932,
en,line:03de430,Genny: I'm not blaming you for breaking the last one…,Assets/YarnFile/00_01.yarn,Start,14,41c3f17c,
en,line:027201c,"Genny: If we could save some money on that, you can get the ticket faster",Assets/YarnFile/00_01.yarn,Start,15,d042fdaa,
en,line:08bd210,Genny: There is only one month left!,Assets/YarnFile/00_01.yarn,Start,16,619cfd75,
en,line:0f8adaf,Genny: I heard that UnRead is going to be the last one in row for the main stage,Assets/YarnFile/00_01.yarn,Start,17,111d624a,
en,line:0f16ce6,Genny: Can't believe that they make it so far in this city,Assets/YarnFile/00_01.yarn,Start,18,f8710767,
en,line:0f4d3f8,"Genny: Anyway, It's time to go",Assets/YarnFile/00_01.yarn,Start,19,6a53b713,
en,line:0c55824,"Genny: I have two papers due at midnight, but I will try to finish them before you get back.",Assets/YarnFile/00_01.yarn,Start,20,6.32E+97,
en,line:0f7cdd7,Genny: So we can watch a movie together!,Assets/YarnFile/00_01.yarn,Start,21,b00fdbdb,
en,line:020d96f,Genny: Remember I said that I tried to hack into that website.,Assets/YarnFile/00_01.yarn,Start,22,c66c7984,
en,line:0ace084,Genny: I did it last night!,Assets/YarnFile/00_01.yarn,Start,23,0db1d557,
en,line:095b9e5,Genny: And it has some good movies on it...,Assets/YarnFile/00_01.yarn,Start,24,774b7a5c,
en,line:065c147,"Genny: Oh, I will also boil some water",Assets/YarnFile/00_01.yarn,Start,25,562ea400,
en,line:0a292ab,Genny: so we can eat cup noodles when you're back.,Assets/YarnFile/00_01.yarn,Start,26,07b67e7c,
en,line:07f71f7,Genny: Be careful and stay safe!,Assets/YarnFile/00_01.yarn,Start,27,43ddc31d,
en,line:049c43e,Genny:嗯？我当然记得啦，因为你是为了他们才想来City的吧。,Assets/YarnFile/00_01.yarn,Start,28,669e6ffc,
en,line:0c2ec92,Genny:四年前能和你一起来City真的太好了，嘿嘿,Assets/YarnFile/00_01.yarn,Start,29,5e48fc79,
en,line:0a9a688,Genny:啊...自顾自说了这么多，不好意思,Assets/YarnFile/00_01.yarn,Start,30,74550928,
en,line:0aab4cb,Genny:你该出发了吧。啊！我也该去写论文了，12点就要交了啊。,Assets/YarnFile/00_01.yarn,Start,31,72846b4c,
en,line:080dfe3,Genny:我会争取在你回来前写完的！这样咱俩晚上可以一起看电影。,Assets/YarnFile/00_01.yarn,Start,32,c2271d91,
en,line:0074746,Genny:还记得那个被404的电影网站嘛，我跟你说哦，我昨天晚上成功黑进去了,Assets/YarnFile/00_01.yarn,Start,33,51659b6d,
en,line:0159aa2,Genny:嘿嘿厉害吧，等你回来一边吃泡面一边看电影吧！,Assets/YarnFile/00_01.yarn,Start,34,f469f75e,
en,line:01c8588,Genny:那工作顺利哦！注意安全！,Assets/YarnFile/00_01.yarn,Start,35,d283f2ec,
