language,id,text,file,node,lineNumber,lock,comment
en,line:0b5da1f,"Genny: Good evening, Brette!",Assets/YarnFile/00/00_01/00_01.yarn,Start,4,695d7a9d,
en,line:07101b7,Genny: I'm about to ask if you are going to take a rest for today.,Assets/YarnFile/00/00_01/00_01.yarn,Start,5,f587495f,
en,line:011b79p,Genny: I thought you overslept again!,Assets/YarnFile/00/00_01/00_01.yarn,Start,6,a17ee31f,
en,line:0a4d2ed,Genny: By the way…,Assets/YarnFile/00/00_01/00_01.yarn,Start,7,cb2662c0,
en,line:0d88b6d,Genny: How does the new prosthetic eye I gave you feel?,Assets/YarnFile/00/00_01/00_01.yarn,Start,8,937fcf73,
en,line:06da0f1,Genny: I tried some new biomaterials with this one! I'm collecting data right now and I feel that my data will be the best in our lab…,Assets/YarnFile/00/00_01/00_01.yarn,Start,10,965580b3,
en,line:0e525c6,"Genny: Okay, I will stop there.",Assets/YarnFile/00/00_01/00_01.yarn,Start,11,60b467bc,
en,line:09e2c57,Genny: I know you are not interested in these.,Assets/YarnFile/00/00_01/00_01.yarn,Start,12,83604422,
en,line:006a7b5,"Genny: B-U-T, remember…",Assets/YarnFile/00/00_01/00_01.yarn,Start,13,19ed402e,
en,line:07c709c,"Genny: If anything feels weird, let me know and I will adjust some details.",Assets/YarnFile/00/00_01/00_01.yarn,Start,15,50408932,
en,line:03de430,"Genny: Don't try to fix it yourself, okay?",Assets/YarnFile/00/00_01/00_01.yarn,Start,16,41c3f17c,
en,line:027201c,Genny: I'm not blaming you for breaking the last one…,Assets/YarnFile/00/00_01/00_01.yarn,Start,17,d042fdaa,
en,line:08bd210,"Genny: If you could save some money on that, you can get the ticket faster.",Assets/YarnFile/00/00_01/00_01.yarn,Start,18,619cfd75,
en,line:0f8adaf,Genny: Or you don't need to work this hard...,Assets/YarnFile/00/00_01/00_01.yarn,Start,20,111d624a,
en,line:0f16ce6,Genny: Ah...,Assets/YarnFile/00/00_01/00_01.yarn,Start,21,f8710767,
en,line:0f4d3f8,Genny: I'm not mad… I’m just worried about you.,Assets/YarnFile/00/00_01/00_01.yarn,Start,22,6a53b713,
en,line:0c55824,"Genny: There is only one month left till the music festival, right?",Assets/YarnFile/00/00_01/00_01.yarn,Start,24,6.32E+97,
en,line:0f7cdd7,Genny: Finally...,Assets/YarnFile/00/00_01/00_01.yarn,Start,25,b00fdbdb,
en,line:020d96f,Genny: You finally can see the UnRead on stage.,Assets/YarnFile/00/00_01/00_01.yarn,Start,26,c66c7984,
en,line:0ace084,Genny: I heard that the UnRead is going to be the last one in row for the main stage,Assets/YarnFile/00/00_01/00_01.yarn,Start,28,0db1d557,
en,line:095b9e5,Genny: Can't believe that they’ve made it so far with this city.,Assets/YarnFile/00/00_01/00_01.yarn,Start,29,774b7a5c,
